time,temperature_2m,precipitation,windspeed_10m,city
2026-05-25 00:00:00,27.5,0.4,3.0,lagos
2026-05-25 01:00:00,26.9,0.0,1.8,lagos
2026-05-25 02:00:00,26.5,0.5,5.4,lagos
2026-05-25 03:00:00,25.1,0.5,2.7,lagos
2026-05-25 04:00:00,24.6,2.6,5.3,lagos
2026-05-25 05:00:00,24.8,0.7,3.7,lagos
2026-05-25 06:00:00,25.1,1.1,7.2,lagos
2026-05-25 07:00:00,24.8,0.5,5.9,lagos
2026-05-25 08:00:00,24.8,3.1,6.1,lagos
2026-05-25 09:00:00,25.9,0.5,2.3,lagos
2026-05-25 10:00:00,27.5,0.2,2.3,lagos
2026-05-25 11:00:00,28.0,0.1,3.8,lagos
2026-05-25 12:00:00,28.4,0.0,4.1,lagos
2026-05-25 13:00:00,28.4,0.0,4.2,lagos
2026-05-25 14:00:00,28.6,0.0,6.0,lagos
2026-05-25 15:00:00,28.5,1.2,7.8,lagos
2026-05-25 16:00:00,28.4,0.1,8.8,lagos
2026-05-25 17:00:00,27.9,0.0,11.7,lagos
2026-05-25 18:00:00,27.2,0.0,9.5,lagos
2026-05-25 19:00:00,27.2,0.0,5.3,lagos
2026-05-25 20:00:00,27.1,0.0,4.8,lagos
2026-05-25 21:00:00,27.0,0.0,2.9,lagos
2026-05-25 22:00:00,26.8,0.0,2.3,lagos
2026-05-25 23:00:00,26.6,0.0,3.5,lagos
2026-05-26 00:00:00,26.2,0.0,5.1,lagos
2026-05-26 01:00:00,26.1,0.0,3.8,lagos
2026-05-26 02:00:00,26.0,0.0,3.2,lagos
2026-05-26 03:00:00,26.0,0.0,3.9,lagos
2026-05-26 04:00:00,25.9,0.1,3.7,lagos
2026-05-26 05:00:00,25.8,0.1,2.3,lagos
2026-05-26 06:00:00,25.9,0.6,5.3,lagos
2026-05-26 07:00:00,26.1,0.2,4.9,lagos
2026-05-26 08:00:00,27.0,0.1,1.3,lagos
2026-05-26 09:00:00,27.7,0.1,3.1,lagos
2026-05-26 10:00:00,28.5,0.1,3.6,lagos
2026-05-26 11:00:00,29.1,0.0,7.1,lagos
2026-05-26 12:00:00,29.6,0.1,7.5,lagos
2026-05-26 13:00:00,29.5,0.2,8.9,lagos
2026-05-26 14:00:00,28.9,0.9,9.6,lagos
2026-05-26 15:00:00,28.8,0.3,11.8,lagos
2026-05-26 16:00:00,28.7,0.0,11.5,lagos
2026-05-26 17:00:00,28.4,0.0,12.4,lagos
2026-05-26 18:00:00,28.0,0.0,9.9,lagos
2026-05-26 19:00:00,27.9,0.0,7.6,lagos
2026-05-26 20:00:00,27.1,1.9,0.6,lagos
2026-05-26 21:00:00,27.0,0.5,4.3,lagos
2026-05-26 22:00:00,26.4,0.3,8.3,lagos
2026-05-26 23:00:00,26.2,0.4,3.2,lagos
2026-05-27 00:00:00,25.8,1.6,4.4,lagos
2026-05-27 01:00:00,25.8,1.3,2.1,lagos
2026-05-27 02:00:00,25.4,6.7,5.2,lagos
2026-05-27 03:00:00,25.3,3.3,2.5,lagos
2026-05-27 04:00:00,25.0,1.9,6.7,lagos
2026-05-27 05:00:00,24.8,0.9,6.3,lagos
2026-05-27 06:00:00,24.5,0.3,6.3,lagos
2026-05-27 07:00:00,24.8,0.3,4.9,lagos
2026-05-27 08:00:00,25.4,0.2,4.9,lagos
2026-05-27 09:00:00,26.5,0.2,4.4,lagos
2026-05-27 10:00:00,27.6,0.1,6.2,lagos
2026-05-27 11:00:00,28.0,0.1,6.1,lagos
2026-05-27 12:00:00,28.8,0.1,6.2,lagos
2026-05-27 13:00:00,28.8,0.0,7.7,lagos
2026-05-27 14:00:00,28.3,0.0,9.6,lagos
2026-05-27 15:00:00,27.7,0.0,9.7,lagos
2026-05-27 16:00:00,27.9,0.0,9.5,lagos
2026-05-27 17:00:00,28.0,0.0,9.8,lagos
2026-05-27 18:00:00,27.6,0.0,7.3,lagos
2026-05-27 19:00:00,27.3,0.0,5.6,lagos
2026-05-27 20:00:00,27.2,0.0,5.9,lagos
2026-05-27 21:00:00,27.2,0.0,6.6,lagos
2026-05-27 22:00:00,27.4,0.0,6.9,lagos
2026-05-27 23:00:00,27.1,0.0,4.2,lagos
2026-05-25 00:00:00,25.6,0.3,1.1,abuja
2026-05-25 01:00:00,24.9,0.0,3.2,abuja
2026-05-25 02:00:00,24.3,0.0,4.8,abuja
2026-05-25 03:00:00,23.8,0.0,6.0,abuja
2026-05-25 04:00:00,23.3,0.0,5.7,abuja
2026-05-25 05:00:00,23.2,0.0,9.2,abuja
2026-05-25 06:00:00,24.0,0.1,7.0,abuja
2026-05-25 07:00:00,24.5,0.0,6.8,abuja
2026-05-25 08:00:00,25.8,0.0,9.6,abuja
2026-05-25 09:00:00,27.0,0.1,6.9,abuja
2026-05-25 10:00:00,28.2,0.1,5.9,abuja
2026-05-25 11:00:00,29.1,0.3,4.3,abuja
2026-05-25 12:00:00,24.5,7.0,8.7,abuja
2026-05-25 13:00:00,24.4,5.0,8.2,abuja
2026-05-25 14:00:00,24.8,0.8,5.0,abuja
2026-05-25 15:00:00,25.4,0.1,0.0,abuja
2026-05-25 16:00:00,26.4,0.0,1.2,abuja
2026-05-25 17:00:00,25.7,0.0,4.4,abuja
2026-05-25 18:00:00,24.8,0.0,1.6,abuja
2026-05-25 19:00:00,24.6,0.0,0.5,abuja
2026-05-25 20:00:00,24.4,0.0,0.5,abuja
2026-05-25 21:00:00,24.1,0.0,2.9,abuja
2026-05-25 22:00:00,24.0,0.0,2.5,abuja
2026-05-25 23:00:00,23.0,1.3,5.4,abuja
2026-05-26 00:00:00,22.8,1.0,2.9,abuja
2026-05-26 01:00:00,22.6,0.2,3.6,abuja
2026-05-26 02:00:00,22.3,0.0,2.5,abuja
2026-05-26 03:00:00,22.3,0.0,4.2,abuja
2026-05-26 04:00:00,22.4,0.0,4.5,abuja
2026-05-26 05:00:00,22.3,0.0,5.1,abuja
2026-05-26 06:00:00,22.5,0.0,5.3,abuja
2026-05-26 07:00:00,23.1,0.0,6.2,abuja
2026-05-26 08:00:00,24.4,0.0,6.1,abuja
2026-05-26 09:00:00,25.7,0.1,5.8,abuja
2026-05-26 10:00:00,26.9,0.2,7.1,abuja
2026-05-26 11:00:00,27.1,0.1,7.4,abuja
2026-05-26 12:00:00,28.5,0.0,4.2,abuja
2026-05-26 13:00:00,28.9,0.3,4.3,abuja
2026-05-26 14:00:00,28.9,0.1,5.1,abuja
2026-05-26 15:00:00,28.8,0.0,6.2,abuja
2026-05-26 16:00:00,28.0,0.2,6.0,abuja
2026-05-26 17:00:00,27.8,0.2,3.2,abuja
2026-05-26 18:00:00,26.5,0.2,2.2,abuja
2026-05-26 19:00:00,26.0,0.0,1.3,abuja
2026-05-26 20:00:00,25.5,0.0,2.3,abuja
2026-05-26 21:00:00,25.2,0.0,3.1,abuja
2026-05-26 22:00:00,24.9,0.0,1.3,abuja
2026-05-26 23:00:00,25.0,0.0,0.3,abuja
2026-05-27 00:00:00,24.6,0.0,3.3,abuja
2026-05-27 01:00:00,24.4,0.0,0.0,abuja
2026-05-27 02:00:00,24.2,0.0,1.9,abuja
2026-05-27 03:00:00,23.8,0.0,3.8,abuja
2026-05-27 04:00:00,23.4,0.0,7.4,abuja
2026-05-27 05:00:00,23.0,0.0,9.1,abuja
2026-05-27 06:00:00,23.0,0.0,6.0,abuja
2026-05-27 07:00:00,23.6,0.0,4.9,abuja
2026-05-27 08:00:00,24.6,0.0,5.9,abuja
2026-05-27 09:00:00,25.7,0.0,6.9,abuja
